,phrase,lf-label
27, РЕШЕНИЕ АКЦИОНЕР О ЗАМЕНА ПРОФЕССИОНАЛЬНЫЙ ЙОРДАН НА НЕПРОФЕССИОНАЛЬНЫЙ СЕНКЕВИЧ ПОВЕРГАТЬ ПРОФЕССИОНАЛ ПАРФЕНОВ В ДЕПРЕССИЯ,notLF
28, БЫТЬ СОВРЕМЕННЫЙ И ПРАГМАТИЧНЫЙ НЕСОГЛАСНЫЙ ОН ОТВОДИТЬ СЕБЯ НА БОЛЕЗНЬ ТРИ МЕСЯЦ,notLF
29, НИКАКОЙ ХЛОПАНЬЕ ДВЕРЬ УХОД В ОТСТАВКА И ПРОЧИЙ СЕНТИМЕНТАЛЬНЫЙ ПРИНЦИПИАЛЬНЫЙ ЕРУНДА,LF
30, ЗА ТРИ МЕСЯЦ КАК ОН СКОРЕЕ ВСЕ РАССУДИТЬ ИЛИ ИШАК СДЫХАТЬ ИЛИ ШАХ,notLF
31, НИ ТО НИ ДРУГОЙ НЕ ПРОИСХОДИТЬ,notLF
32, АКЦИОНЕР ПОДТВЕРЖДАТЬ ЧТО ОН РЕШАТЬ КТО ПОДХОДИТЬ В НАЧАЛЬНИК А НЕ ЖУРНАЛИСТ,notLF
33, ЖУРНАЛИСТ ВЫНУЖДЕННЫЙ БЫТЬ ПРИЗНАВАТЬ ЧТО САМ КАК МОЧЬ БОРОТЬСЯ ЗА РЫНОК ТАК ЧТО ПРИХОДИТЬСЯ МИРИТЬСЯ С ОН ПРАВИЛО,notLF
34, ПАРФЕНОВ НЕ ПОЯВЛЯТЬСЯ С СВОЙ САМЫЙ РЕЙТИНГОВЫЙ ПРОГРАММА НИ НА ОДИН ДРУГОЙ КАНАЛ ЧТО ВПОЛНЕ ВОЗМОЖНО ГОВОРИТЬ О СЛАБОСТЬ КАНАЛ А НЕ ПАРФЕНОВ,notLF
35, НО ФАКТ ОСТАВАТЬСЯ ФАКТ,notLF
36, НАШ СОВРЕМЕННЫЙ НЕСОГЛАСНЫЙ ОКАЗЫВАТЬСЯ ПЕРЕД ВЫБОР В ЭФИР С СЕНКЕВИЧ ИЛИ ВНЕ ЭФИР С СОБСТВЕННЫЙ ПРИНЦИП,notLF
37, НУ ПАРФЕНОВ ЖЕ НЕ ДУРАК ЗА ЧТО ВЫ ДОРОГОЙ ЗРИТЕЛЬ ОН И ЦЕНИТЬ,notLF
38, СОВРЕМЕННЫЙ БУНТ И ЭТО САМЫЙ ОПТИМИСТИЧНЫЙ ЗАКАНЧИВАТЬСЯ СОВЕРШЕННО НЕ БЕССМЫСЛЕННО,notLF
39, ОН ЗАКАНЧИВАТЬСЯ К ВСЕОБЩИЙ УДОВОЛЬСТВИЕ,notLF
40, ЗРИТЕЛЬ ПОЛУЧАТЬ ОБРАТНО НАМЕДНИ С ЛЮБИМЫЙ ВЕДУЩИЙ,notLF
41, НТВ СОХРАНЯТЬ САМЫЙ РЕЙТИНГОВЫЙ ПРОГРАММА И ЛИЦО КАНАЛ,notLF
42, А ПАРФЕНОВ,notLF
43, ПОЛАГАТЬ ЧТО ДЕЙСТВОВАТЬ ПО КОХ И ВЫИГРЫВАТЬ,notLF
44, ВО-ПЕРВЫХ ОН СНОВА БЫТЬ В ЭФИР,LF
45, ВО-ВТОРЫХ ДОГАДЫВАТЬСЯ СЕНКЕВИЧ ПРИХОДИТЬСЯ ДОПЛАЧИВАТЬ ПАРФЕНОВ ЗА ТО ЧТО ТОТ НАСТУПАТЬ НА ГОРЛО СОБСТВЕННЫЙ ПРОФЕССИОНАЛЬНЫЙ ПРИНЦИП СОГЛАШАТЬСЯ РАБОТАТЬ С ЭТОТ ВАРЯГ СПУСКАТЬ ОН НА ГОЛОВА ГАЗПРОМ,notLF
46, СУММА КОНТРАКТ НАЗЫВАТЬ ОДИН ИЗ ПОЧТЕННЫЙ ГАЗЕТА ДОЛЛАР-ЗНАК 1 МИЛЛИОН В ГОД,notLF
47, Я СЧИТАТЬ ЧТО ТАКОЙ ВЫХОД ИЗ ТРЕХМЕСЯЧНЫЙ ОТПУСК ВПОЛНЕ ДОСТОЙНЫЙ СОВРЕМЕННЫЙ ДИССИДЕНТ,notLF
48, ЕСЛИ УЧИТЫВАТЬ ЧТО ЗА ПОСЛЕДНИЙ ДВА ГОД ПАРФЕНОВ ПОБЫВАТЬ ДИССИДЕНТ ДВАЖДЫ ЕСЛИ НЕ ТРИЖДЫ ТО МОЖНО С ПОЛНЫЙ ПРАВО СЧИТАТЬ ТЕЛЕВЕДУЩИЙ ВПОЛНЕ УДАЧЛИВЫЙ И ПРАГМАТИЧНЫЙ БИЗНЕСМЕН,LF
49, ЛАРРИ КИНГ МЕЖДУ ПРОЧИМ ПРИХОДИТЬСЯ БЕЗ ВСЯКИЙ БУНТ 10 ГОД КАЖДЫЙ ДЕНЬ ДЕРЖАТЬ СВОЙ ПРОГРАММА НА УРОВЕНЬ САМЫЙ РЕЙТИНГОВЫЙ ПРЕЖДЕ ЧЕМ ОН ПОЛУЧАТЬ ЗАРПЛАТА ДОЛЛАР-ЗНАК 7 МИЛЛИОН ГОДОВОЙ,LF
50, НЕДАВНО ПРЕЗИДЕНТ ПУТИН ЗАТРЕБОВАТЬ У ПРАВИТЕЛЬСТВО И ЦЕНТРОБАНК ПРЕДЛОЖЕНИЕ ПО ЛИБЕРАЛИЗАЦИЯ ВАЛЮТНЫЙ РЕГУЛИРОВАНИЕ,notLF
51, ПОКА ИЗВЕСТНЫЙ ДВА ИДЕЯ УМЕНЬШАТЬ ИЛИ ВООБЩЕ ОТМЕНЯТЬ ОБЯЗАТЕЛЬНЫЙ ПРОДАЖА ВАЛЮТНЫЙ ВЫРУЧКА ОТКРЫВАТЬ СЧЕТ ЗА ГРАНИЦА И ПЕРЕВОДИТЬ ТУДА ДЕНЬГИ БЕЗ РАЗРЕШЕНИЕ ЦБ,notLF
52, МНОГО ГОД У МЫ ДЕЙСТВОВАТЬ ПРАВИЛО ЭКСПОРТЕР ОБЯЗЫВАТЬ ПРОДАВАТЬ ВНУТРИ СТРАНА ЧАСТЬ ВАЛЮТНЫЙ ВЫРУЧКА,notLF
53, НЫНЕШНИЙ НОРМАТИВ 75 ПРОЦЕНТ-ЗНАК БЫТЬ ВВОДИТЬ ЗАКОН С ПОДАЧА ЦБ ВСКОРЕ ПОСЛЕ ВЕЛИКИЙ ДЕФОЛТ,notLF
54, ПРИЧИНА ПРОСТОЙ ФИНАНСОВЫЙ КРИЗИС ЛИШАТЬ ОН ВАЛЮТНЫЙ РЕЗЕРВ А БЕЗ ОНИ НАШ ГЛАВНЫЙ БАНК ЛИШЬ КОНТОРА ПО ПРОИЗВОДСТВО ИНСТРУКЦИЯ,notLF
55, ПОЛУЧАТЬ ЗАКОН ЦБ ПРИСТУПАТЬ К МАССИРОВАННЫЙ ЗАКУПКА ВАЛЮТА У ЭКСПОРТЕР,notLF
56, РЕЗЕРВ СТАТЬ СТРЕМИТЕЛЬНО РАСТИ И СЕЙЧАС НАХОДИТЬСЯ НА УРОВЕНЬ ДОЛЛАР-ЗНАК 28 29 МИЛЛИАРД,LF
57, ОНИ ХВАТАТЬ НЕ ТОЛЬКО ДЛЯ ПОДДЕРЖКА КУРС РУБЛЬ,notLF
58, ЦЕНТРОБАНК ДАЖЕ ПОМОГАТЬ ДЕНЬГИ ПРАВИТЕЛЬСТВО КОТОРЫЙ ДО СИХ ПОР НЕ ВЕРНУТЬ ОН БОЛЕЕ ДОЛЛАР-ЗНАК 6 МИЛЛИАРД,notLF
59, КАЗАТЬСЯ БЫ ЧТО ЕЩЕ ЖЕЛАТЬ,notLF
60, НО В ЭКОНОМИКА ВСЕ ИМЕТЬ СВОЙ ЦЕНА,LF
61, ОТКУПАТЬ ВАЛЮТА С РЫНОК ЦБ ЗАПУСКАТЬ В ХОЗЯЙСТВО ДОПОЛНИТЕЛЬНЫЙ РУБЛЬ,notLF
62, ОНИ КОЛИЧЕСТВО ЗАВИСЕТЬ ОТ ПОТОК ЭКСПОРТНЫЙ ВЫРУЧКА ПРЕЖДЕ ВСЕГО ОТ ОБЪЕМ НЕФТЕДОЛЛАР,notLF
63, А НЕ ОТ ТО СКОЛЬКО ДЕНЬГИ НУЖНЫЙ ЭКОНОМИКА,notLF
64, ТАК ЧТО ВОЗМОЖНЫЙ ПЕРЕБОР,notLF
65, И ОН БЫВАТЬ НА ПРАКТИКА,notLF
66, ТОГДА ПОЯВЛЯТЬСЯ ИЗЛИШЕК ДЕНЬГИ КОТОРЫЙ ПРОВОЦИРОВАТЬ ИНФЛЯЦИЯ ДАВИТЬ НА ЦЕНА,notLF
67, ПРАВИЛО 75 ПРОЦЕНТ-ЗНАК КОНЕЧНО ОГРАНИЧИВАТЬ СВОБОДА БИЗНЕС,notLF
68, ЕСЛИ ЭКСПОРТЕР ЗАРАБАТЫВАТЬ ВАЛЮТА ТО В ПРИНЦИП ДОЛЖЕН ИМЕТЬ ВОЗМОЖНОСТЬ РАСПОРЯЖАТЬСЯ ОНА ПО СОБСТВЕННЫЙ УСМОТРЕНИЕ,LF
69, А ОН НЕ ДАВАТЬ,notLF
70, НАКОНЕЦ ОБЯЗАТЕЛЬНЫЙ ПРОДАЖА ВАЛЮТНЫЙ ВЫРУЧКА НОРМА ВСЕ ЖЕ ЭКЗОТИЧЕСКИЙ,notLF
71, ПРИМЕНЯТЬ РАЗВЕ ЧТО НА ПРОСТРАНСТВО СНГ,notLF
72, ОБЯЗАТЕЛЬНЫЙ ПРОДАЖА МЕРА ВРЕМЕННЫЙ,notLF
73, ПРИГОДНЫЙ ЛИШЬ ДЛЯ ПЛОХОЙ ФИНАНСОВЫЙ СИТУАЦИЯ,notLF
74, А ЕСЛИ СИТУАЦИЯ СТАБИЛЬНО ХОРОШИЙ ТО ИЗ ПРАВИЛО 75 ПРОЦЕНТ-ЗНАК НАДО ДЕЛАТЬ ПРАВИЛО 50 ПРОЦЕНТ-ЗНАК ИЛИ ВООБЩЕ ОНО ОТМЕНЯТЬ,notLF
75, НАСТУПАТЬ ЭТОТ МОМЕНТ ИЛИ НЕТ НАСТУПАТЬ ВОТ В ЧТО ВОПРОС,LF
76, СТОРОННИК ЛИБЕРАЛИЗАЦИЯ ГОВОРИТЬ САМЫЙ ВРЕМЯ,notLF
77, ПУСТЬ ЦБ ОСТАВЛЯТЬ ЭКСПОРТЕР В ПОКОЙ ИЗБАВЛЯТЬ ОТ ОБЯЗАЛОВКА,LF
78, ТОГДА ЧАСТЬ ВАЛЮТНЫЙ ПОТОК ОТВОРАЧИВАТЬ ОТ ЦБ В СТОРОНА К РОССИЙСКИЙ БАНК,notLF
79, ТОТ БЫТЬ СНАБЖАТЬ ИМПОРТЕР,notLF
80, ПРОДАВАТЬ И ПРАВИТЕЛЬСТВО ЕСЛИ ОНО ПОНАДОБИТЬСЯ ВАЛЮТА ДЛЯ УПЛАТА ВНЕШНИЙ ДОЛГ,notLF
81, В РЕЗУЛЬТАТ СНИЖАТЬ ИНФЛЯЦИЯ БАНК ВЕДЬ РУБЛЬ НЕ ПЕЧАТАТЬ ПОДДЕРЖИВАТЬ БАНКОВСКИЙ СИСТЕМА И ЗАЖИТЬ КАК ЦИВИЛИЗОВАННЫЙ ЧЕЛОВЕК,LF
82, НО ЧТО ЖЕ БЫТЬ С РЕЗЕРВ ЦЕНТРОБАНК,notLF
83, А НИЧТО,notLF
84, ВАЛЮТА В СТРАНА НАВАЛОМ,LF
85, НА ВСЕ ХВАТАТЬ,notLF
86, ПОСЛЕ ЛИБЕРАЛИЗАЦИЯ ПОПОЛНЯТЬ РЕЗЕРВ ЦБ СТАНОВИТЬСЯ ТРУДНЫЙ,notLF
87, РАСТРЕВОЖИВАТЬСЯ ВАЛЮТНЫЙ РЫНОК,notLF
88, НАЧИНАТЬ ПОДСТРАИВАТЬСЯ К НОВЫЙ УСЛОВИЕ,notLF
89, А ЭТОТ УСЛОВИЕ ТАКОВ ЧТО КУРС РУБЛЬ С БОЛЬШОЙ ВЕРОЯТНОСТЬ ПОЙТИ ВНИЗ,LF
90, И ТУТ УЖ ВСЕ ЗАВИСЕТЬ ОТ ЦБ,notLF
91, СТАТЬ ВМЕШИВАТЬСЯ ПРОЦЕСС ПОЙТИ МЕДЛЕННО,notLF
92, НЕ СТАТЬ ПРОЦЕСС ПОЙТИ БЫСТРО,notLF
93, ВИДИМО РЕЗЕРВ ВСЕ ЖЕ ТРАТИТЬ ПРИХОДИТЬСЯ,notLF
94, ОНИ ИСПЫТЫВАТЬ ДВОЙНОЙ НАГРУЗКА ПРИХОД МАЛЫЙ РАСХОД БОЛЬШОЙ,notLF
95, МОЧЬ БЫТЬ И ТРОЙНОЙ,notLF
96, ХОТЯ ПРАВИТЕЛЬСТВО НАОТРЕЗ ОТКАЗЫВАТЬСЯ ЗАНИМАТЬ У ЦБ ДЛЯ ПЛАТЕЖ ПО ВНЕШНИЙ ДОЛГ ТРУДНЫЙ СКАЗАТЬ КАК ПОЙТИ ДЕЛО В БУДУЩЕЕ,LF
97, НУ А ЕСЛИ ПРИПИРАТЬ,notLF
98, ЗАГЛЯДЫВАТЬ В БАБУШКИН СУНДУК А ТАМ,notLF
99, НЕ СТОИТЬ ЗАБЫВАТЬ ЧТО В КОНЕЦ ВЕСНА 1998 ГОД МЫ ИМЕТЬ РЕЗЕРВ ОКОЛО ДОЛЛАР-ЗНАК 18 МИЛЛИАРД,notLF
100, ПОТОМ ПОДХОДИТЬ ПЕРВЫЙ ПОРЦИЯ ДЕНЬГИ МВФ,notLF
101, НО ВСЕ РАВНО НЕ УДЕРЖИВАТЬСЯ,notLF
102, ПАДАТЬ,notLF
103, В НАЧАЛО ЭТОТ ГОД ТУРЦИЯ РАСПОЛАГАТЬ РЕЗЕРВ НА УРОВЕНЬ ДОЛЛАР-ЗНАК 20 МИЛЛИАРД,LF
104, ТОЖЕ РУШИТЬСЯ ВМЕСТЕ С СВОЙ ЛИРА,notLF
105, НЫНЕШНИЙ ВАЛЮТНЫЙ РЕЗЕРВ РОССИЯ КОНЕЧНО БОЛЬШОЙ,notLF
106, НО НЕ НАМНОГО,notLF
107, ЧТО ПРОИСХОДИТЬ КОГДА РЕЗЕРВ НЕ ХВАТАТЬ МЫ ХОРОШО ИЗВЕСТНЫЙ,LF
108, ЕСЛИ УЖ ТАК ХОТЕТЬСЯ ПРОВОДИТЬ ЛИБЕРАЛИЗАЦИЯ ВАЛЮТНЫЙ РЕГУЛИРОВАНИЕ СТОИТЬ БЫ ПЕРЕХОДИТЬ НА ПРАВИЛО 50 ПРОЦЕНТ-ЗНАК И СМОТРЕТЬ ЧТО БЫТЬ,notLF
109, А ХОРОШИЙ БЫ ПОДОЖДАТЬ,notLF
110, ХОТЯ БЫ ДО ОСЕНЬ КОГДА ПРОЯСНЯТЬСЯ СИТУАЦИЯ С ДОЛГ И НЕФТЯНОЙ ЦЕНА,notLF
111, НО НАПОР ДОВОЛЬНО СИЛЬНЫЙ,notLF
112, В ПЕРЕСМОТР НОРМАТИВ ОБЯЗАТЕЛЬНЫЙ ПРОДАЖА ОБЪЕКТИВНО ЗАИНТЕРЕСОВАННЫЙ БАНК ЗАРАБОТАТЬ НА ВАЛЮТНЫЙ РЫНОК И ОБЕСЦЕНИВАТЬ СВОЙ РУБЛЕВЫЙ ДОЛГ ЭКСПОРТЕР ВЫГОДА ОЧЕВИДНЫЙ И ЛИБЕРАЛ ИЗ ПРИНЦИП,LF
113, ТАКОЙ ВОТ КООПЕРАТИВ ИМЯ ПАДАТЬ РУБЛЬ,notLF
114, ЛИБЕРАЛИЗАЦИЯ КОНЕЧНО ДЕЛО ХОРОШИЙ ПРАВИЛЬНЫЙ,notLF
115, НО ТОЛЬКО ЕСЛИ ПРОВОДИТЬ ВОВРЕМЯ,notLF
116, И ХОРОШО ПОНИМАТЬ ОНА ПОСЛЕДСТВИЕ,LF
117, СВОБОДА ОТКРЫВАТЬ СЧЕТ ЗА ГРАНИЦА ДЕЛО В ПРИНЦИП ПЕРСПЕКТИВНЫЙ,notLF
118, И ТОЖЕ ЛИБЕРАЛЬНЫЙ,notLF
119, КОГДА-ТО НАДО НА ЭТО ИДТИ,notLF
120, НЫНЕ ЖЕ СВОБОДА МОЧЬ ОБОРАЧИВАТЬСЯ ЛИШЬ ЛЕГАЛИЗАЦИЯ ОТТОК КАПИТАЛ,notLF
121, ВИДНО СТАНОВИТЬСЯ НЕУЮТНЫЙ ОТГОНЯТЬ ДЕНЬГИ ЗА РУБЕЖ ПО-СЕРОМУ,notLF
122, ПОБАИВАТЬСЯ ВЛАСТЬ,notLF
123, ХОТЕТЬСЯ ПО-БЕЛОМУ КУЛЬТУРНО ПРИЛИЧНО,notLF
124, НО ДАЖЕ ЭТО ДЕЛАТЬ БЫТЬ НЕЛЕГКИЙ,notLF
125, ПОСКОЛЬКУ НА ЗАПАД ПОД ЛЮБОЙ ПРЕДЛОГ ПРЕПЯТСТВОВАТЬ ОТКРЫТИЕ ТАКОЙ СЧЕТ,LF
126, СЪЕДАТЬ ТО ОН СЪЕДАТЬ ДА КТО ЖЕ ОН ДАВАТЬ,notLF
127, ИМЕННО ТАК,notLF
128, ПО КРАЙНЕЙ МЕРЕ СЕЙЧАС,notLF
129, ОБРЕТЕНИЕ МЕЖДУНАРОДНЫЙ ФИНАНСОВЫЙ СВОБОДА НЕ АКТ А ПРОЦЕСС,notLF
130, И ДОВОЛЬНО ПРОДОЛЖИТЕЛЬНЫЙ,notLF
131, НЕ СТОИТЬ СПЕШИТЬ НА ВЫХОД,notLF
132, ДВЕРЬ ПОКА ЗАКРЫТЫЙ,notLF
133, ОПТИМИЗМ МОЧЬ БЫТЬ ВРЕДНЫЙ А ПЕССИМИЗМ МОЧЬ БЫТЬ ПОЛЕЗНЫЙ,notLF
134, СТОИТЬ ЛИ РАСТОЧАТЬ УЛЫБКА КАЖДЫЙ ВСТРЕЧНЫЙ ДЕМОНСТРИРОВАТЬ ОТКРЫТОСТЬ И СОБСТВЕННЫЙ БЛАГОПОЛУЧИЕ,notLF
135, НАДО ЛИ СМОТРЕТЬ НА ВСЕ СКВОЗЬ РОЗОВЫЙ ОЧКИ ИЛИ ЭТО НЕПРОСТИТЕЛЬНЫЙ ИНФАНТИЛИЗМ,notLF
136, ИЛИ ВСЕ ЖЕ КРОМЕ ПОВОД ДЛЯ РАДОСТЬ В ЖИЗНЬ СУЩЕСТВОВАТЬ И ПРИЧИНА ДЛЯ ОГОРЧЕНИЕ ИЛИ ПО КРАЙНЕЙ МЕРЕ ДЛЯ ОЗАБОЧЕННОСТЬ,notLF
137, АМЕРИКАНСКИЙ ПСИХОЛОГ НЕДАВНО УСОМНИТЬСЯ В ТО ЧТО ТРАДИЦИОННО ЯВЛЯТЬСЯ ОДИН ИЗ СИМВОЛ ПРОЦВЕТАНИЕ США И ОНА ГРАЖДАНИН,notLF
138, ПСИХОЛОГ ИЗ АМЕРИКАНСКИЙ АССОЦИАЦИЯ ПСИХОЛОГ СОБИРАТЬСЯ В ВАШИНГТОН НА СИМПОЗИУМ ПРОХОДИТЬ ПОД ДЕВИЗ НЕЗАМЕЧЕННЫЙ ДОСТОИНСТВО НЕГАТИВИЗМ,LF
139, ЭТО БЫТЬ ПЕРВЫЙ БУНТ ПРОТИВ КАК ВЫРАЖАТЬСЯ ОДИН ИЗ УЧАСТНИК СИМПОЗИУМ ТИРАНИЯ ПОЗИТИВНЫЙ МЫШЛЕНИЕ И ЗАСИЛЬЕ ОПТИМИЗМ,notLF
140, ВСЕ БЫТЬ ХОРОШИЙ,notLF
141, ВЕСЬ ПРОБЛЕМА РАЗРЕШИМЫЙ,notLF
142, БЫТЬ ОПТИМИСТ И УСПЕХ ВЫ ОБЕСПЕЧИВАТЬ,notLF
143, ОПТИМИЗМ ЭТО ЗАЛОГ УСПЕХ ДОСТАТОК НЕСОКРУШИМЫЙ ЗДОРОВЬЕ,notLF
144, ТАКОЙ ЖЕ ПОЗИЦИЯ ЗАНИМАТЬ В СВОЙ ВРЕМЯ И ЛИДЕР АМЕРИКАНСКИЙ АССОЦИАЦИЯ ПСИХОЛОГ,LF
145, ОНИ РЕШАТЬ ЧТО ПСИХОЛОГ СЛИШКОМ УВЛЕКАТЬСЯ КОПАНИЕ В ДУШЕВНЫЙ БОЛЕЗНЬ И В ПРИЧИНА ЖИТЕЙСКИЙ НЕУДАЧА,notLF
146, ТОГДА И БЫТЬ ОСНОВЫВАТЬ ПОЗИТИВНЫЙ ДВИЖЕНИЕ В ПСИХОЛОГИЯ,notLF
147, МЫСЛИТЬ И ЧУВСТВОВАТЬ НАДО ПОЗИТИВНО,notLF
148, И ВОТ ТЕПЕРЬ ПСИХОЛОГ ПРИХОДИТЬ К ВЫВОД ЧТО ПОМЕШАТЕЛЬСТВО НА ПОЗИТИВНОСТЬ И ОПТИМИЗМ ЗАХОДИТЬ СЛИШКОМ ДАЛЕКО,LF
149, ДА КОНЕЧНО У ОПТИМИЗМ БЫТЬ СВОЙ ПЛЮС НО И МИНУС НЕМАЛО,notLF
150, ОДНОСТОРОННИЙ ВЗГЛЯД НА МИР И НА СЕБЯ НЕ ДАВАТЬ ЧЕЛОВЕК РЕАЛЬНЫЙ КАРТИНА ПРОИСХОДИТЬ,notLF
151, ИСПОВЕДОВАТЬ ОН ЧЕЛОВЕК ВОЛЕЙ-НЕВОЛЕЙ ЖИТЬ ЛИШЬ СЕГОДНЯШНИЙ ДЕНЬ НЕ ЗАДУМЫВАТЬСЯ О ПОСЛЕДСТВИЕ СВОЙ И ЧУЖОЙ ПОСТУПОК,notLF
152, БЕСПЕЧНОСТЬ И ЭГОИЗМ ВОТ ПЕРВЫЙ ПЛОД БЕЗДУМНЫЙ ОПТИМИЗМ ГОВОРИТЬ УЧАСТНИК ВАШИНГТОНСКИЙ СИМПОЗИУМ НЕПРЕДВИДЕННЫЙ КРАХ НАДЕЖДА ЖЕСТОКИЙ РАЗОЧАРОВАНИЕ ТОЖЕ ОН ПЛОД,LF
153, КАЖДЫЙ ЧЕЛОВЕК В ЖИЗНЬ НУЖНЫЙ И ДОЛЯ ПЕССИМИЗМ ЧТОБЫ НЕ СЛИШКОМ ОБОЛЬЩАТЬСЯ И ТРЕЗВО СМОТРЕТЬ НА ВЕЩЬ,notLF
154, НЕ БЫТЬ ЗАБЫВАТЬ ЧТО СТАКАН МОЧЬ БЫТЬ НЕ ТОЛЬКО НАПОЛОВИНУ ПОЛНЫЙ НО И НАПОЛОВИНУ ПУСТОЙ ВСПОМИНАТЬ ИЗВЕСТНЫЙ АФОРИЗМ ДЖУЛИЯ НОРЕМ СПЕЦИАЛИСТ ПО СОЦИАЛЬНЫЙ ПСИХОЛОГИЯ ИЗ ШТАТ МАССАЧУСЕТС,LF
