,phrase,lf-label
82, Но что же будет с резервами Центробанка,notLF
83, А ничего,notLF
84, Валюты в стране навалом,LF
85, На всех хватит,notLF
86, После либерализации пополнять резервы ЦБ станет труднее,notLF
87, Растревожится валютный рынок,notLF
88, Начнет подстраиваться к новым условиям,notLF
89, А эти условия таковы что курс рубля с большой вероятностью пойдет вниз,LF
90, И тут уж все зависит от ЦБ,notLF
91, Станет вмешиваться процесс пойдет медленнее,notLF
92, Не станет None None быстрее,notLF
93, Видимо резервы все же тратить придется,notLF
94, Они испытают двойную нагрузку приход поменьше расход побольше,notLF
95, Может быть и тройную,notLF
96, Хотя правительство наотрез отказывается занимать у ЦБ для платежей по внешнему долгу трудно сказать как пойдут дела в будущем,LF
97, Ну а если припрет,notLF
98, Заглянем в бабушкин сундук а там,notLF
99, Не стоит забывать что в конце весны 1998 года мы имели резервы около $ 18 млрд.,notLF
100, Потом подошла первая порция денег МВФ,notLF
101, Но все равно не удержались,notLF
102, Упали,notLF
103, В начале этого года Турция располагала резервами на уровне $ 20 млрд.,LF
104, Тоже рухнула вместе со своей лирой,notLF
105, Нынешние валютные резервы России конечно побольше,notLF
106, Но не намного,notLF
107, Что происходит когда резервов не хватает нам хорошо известно,LF
108, Если уж так хочется провести либерализацию валютного регулирования стоило бы перейти на правило 50 % и посмотреть что будет,notLF
109, А лучше бы подождать,notLF
110, Хотя бы до осени когда прояснится ситуация с долгами и нефтяными ценами,notLF
111, Но напор довольно сильный,notLF
112, В пересмотре норматива обязательной продажи объективно заинтересованы банки заработают на валютном рынке и обесценят свои рублевые долги экспортеры выгода очевидна и либералы из принципа,LF
113, Такой вот кооператив имени падающего рубля,notLF
114, Либерализация конечно дело хорошее правильное,notLF
115, Но только если проводится вовремя,notLF
116, И хорошо понимаются ее последствия,LF
117, Свобода открывать счета за границей дело в принципе перспективное,notLF
118, И тоже либеральное,notLF
119, Когда-то надо на это идти,notLF
120, Ныне же свобода может обернуться лишь легализацией оттока капитала,notLF
121, Видно стало неуютно отгонять деньги за рубеж по-серому,notLF
122, Побаиваются власти,notLF
123, Хочется по-белому культурно прилично,notLF
124, Но даже это сделать будет нелегко,notLF
125, Поскольку на Западе под любыми предлогами препятствуют открытию таких счетов,LF
126, Съесть то он съест да кто ж ему даст,notLF
127, Именно так,notLF
128, По крайней мере сейчас,notLF
129, Обретение международной финансовой свободы не акт а процесс,notLF
130, И довольно продолжительный,notLF
131, Не стоит спешить на выход,notLF
132, Дверь пока закрыта,notLF
133, Оптимизм может быть вреден а пессимизм None None полезен,notLF
134, Стоит ли расточать улыбки каждому встречному демонстрируя открытость и собственное благополучие,notLF
135, Надо ли смотреть на все сквозь розовые очки или это непростительный инфантилизм,notLF
136, Или все же кроме поводов для радости в жизни существуют и причины для огорчений или по крайней мере для озабоченности,notLF
137, Американские психологи недавно усомнились в том что традиционно являлось одним из символов процветания США и ее граждан,notLF
138, Психологи из Американской ассоциации психологов собрались в Вашингтоне на симпозиум проходивший под девизом Незамеченные достоинства негативизма,LF
139, Это был первый бунт против как выразился один из участников симпозиума тирании позитивного мышления и засилья оптимизма,notLF
140, Все будет хорошо,notLF
141, Все проблемы разрешимы,notLF
142, Будьте оптимистами и успех вам обеспечен,notLF
143, Оптимизм это залог успеха достатка несокрушимого здоровья,notLF
144, Такую же позицию заняли в свое время и лидеры Американской Ассоциации психологов,LF
145, Они решили что психологи слишком увлеклись копанием в душевных болезнях и в причинах житейских неудач,notLF
146, Тогда и было основано позитивное движение в психологии,notLF
147, Мыслить и чувствовать надо позитивно,notLF
148, И вот теперь психологи приходят к выводу что помешательство на позитивности и оптимизме зашло слишком далеко,LF
149, Да конечно у оптимизма есть свои плюсы но и минусов немало,notLF
150, Односторонний взгляд на мир и на себя не дает человеку реальной картины происходящего,notLF
151, Исповедуя его человек волей-неволей живет лишь сегодняшним днем не задумываясь о последствиях своих и чужих поступков,notLF
152, Беспечность и эгоизм вот первые плоды бездумного оптимизма говорили участники вашингтонского симпозиума непредвиденный крах надежд жестокое разочарование тоже его плоды,LF
153, Каждому человеку в жизни нужна и доля пессимизма чтобы не слишком обольщаться и трезво смотреть на вещи,notLF
154, Не будем забывать что стакан может быть не только наполовину полон но и наполовину пуст вспоминает известный афоризм Джулия Норем специалист по социальной психологии из штата Массачусетс,LF
155, Норем исследует так называемый защитный пессимизм стратегию поведения когда человек стремится мысленно проиграть предстоящую ситуацию учитывая мелкие препятствия с которыми он может столкнуться,notLF
156, Предположим он готовится к публичному выступлению,notLF
157, Тогда он должен представить себе что ему придется делать если вдруг оборвется шнур микрофона полетит на пол его конспект или на него вдруг нападет приступ кашля,LF
158, Он должен помнить и о массе других мелочей способных свести на нет даже самое удачное выступление,notLF
159, Защитный пессимизм оказывается по результатам ничуть не хуже стратегического оптимизма заставляющего человека тщательно избегать мыслей о плохом,notLF
160, Размышления о помехах позволят полнее охватить предмет увидеть все его стороны и таким образом будят воображение,notLF
161, В одном из специально подготовленных психологических экспериментов участвовали те кого по характеру можно было бы причислить к стратегическим оптимистам и те кто был склонен к защитному пессимизму,notLF
162, Всех участников разделили без предварительного отбора на три группы,notLF
163, Каждой предстояло бросать дротики в мишень,notLF
164, Одной предложили вообразить множество помех и изобрести способы их преодоления,notLF
165, Другая должна была думать что все пройдет гладко и участники этой группы продемонстрируют верх совершенства,LF
166, Третьей группе было сказано не думать ни о чем а мысленно купаться и загорать на пляже,LF
167, Попав в свою привычную стихию то есть представляя себе разные неприятности пессимисты показали блестящие результаты,notLF
168, Хуже у них получилось когда они пытались представить себя непобедимыми чемпионами и совсем плохо None когда они попытались вообще ни о чем не думать,notLF
169, Оптимисты же наоборот добились лучших результатов после бездумного отдыха на пляже и None наихудших после того как попытались представить себя в роли пессимистов и начали задумываться о возможных препятствиях и трудностях при выполнении задания,LF
170, Из этого доктор Норем сделала вывод оптимизм и пессимизм становятся у каждого второй натурой коренящейся как в воспитании так видимо и во врожденном предрасположении,LF
171, Но самое главное то что при решении определенных задач структура которых схожа с той что делалась в эксперименте защитный пессимизм если он естественен для человека оказался ничем не хуже стратегического оптимизма,LF
172, О врожденности двух типов мировосприятия говорилось на вашингтонском симпозиуме не раз,notLF
173, То что оптимизм и пессимизм связаны с типом темперамента было известно еще Аристотелю,notLF
174, Говорилось на симпозиуме и о том в какой степени пессимизм и оптимизм может быть свойственен той или иной культуре,notLF
175, В этой области исследования психологов только начинаются но уже доказано например что выходцы из Азии живущие в Америке более пессимистичны чем выходцы с Кавказа,LF
176, Довольно распространено мнение что пессимистический взгляд на вещи должен неблагоприятно сказываться на здоровье и что улыбаться поэтому полезнее чем хмуриться,notLF
177, Однако на поверку оказалось что и это не всегда верно,notLF
178, Добровольцам выбранным случайным образом предложили вспомнить самые трагические события своей жизни поразмыслить над ними несколько дней а затем описать их со всеми подробностями в виде небольших эссе,notLF
179, Удивительно было не то что тягостные воспоминания не отразились отрицательно на показателях здоровья испытуемых а то что все они после этого почувствовали себя лучше и это ощущение продержалось у них около четырех месяцев после завершения эксперимента,notLF
180, Здесь уместно сопоставить эти результаты с известным феноменом освобождения от того что гнетет душу при помощи творчества,notLF
181, Но с другой стороны можно ли называть творцом всякого испытуемого если он перенесет свои воспоминания на бумагу,notLF
182, Освободится ли он от них как освобождается писатель воплощая то что гнетет его в образы и сюжеты,notLF
183, К тому же не стоит впадать в известное заблуждение и отождествлять писателя с его героями и мотивы его произведений могут не иметь ничего общего с событиями его жизни а берут начало лишь в воображении писателя,LF
184, Тем не менее многие психологи считают что освобождение от тягостных воспоминаний путем возврата к ним осмысления и записи тоже своего рода творчество по крайней мере душевная работа и переживание требующее усилий,notLF
185, Психологи установили также что даже люди нервные постоянно жалующиеся на боли во всех частях тела на слабость головокружение и другие болезненные явления бывают у врача не чаще чем их жизнерадостные сверстники и уходят из жизни не раньше оптимистов,LF
186, Иными словами даже глубокий пессимизм не поведенческий не защитный не конструктивный а именно глубокий и всеохватывающий пессимизм нисколько не вредит здоровью,notLF
187, Пессимистом был немецкий философ Шопенгауэр который не без оснований полагал что страдание служит источником великих дел ибо удесятеряет силы и заставляет быть изобретательными,notLF
188, Всем известна фраза Наполеона которую он произнес когда его спросили в чем главный секрет его стратегии Надо не раздумывая ввязаться в бой а там видно будет,LF
189, Этот принцип исповедуют большинство стратегических оптимистов,notLF
190, Но вспомним этот принцип был хорош при Маренго при Аустерлице но оказался негодным под Москвой Лейпцигом и Ватерлоо,notLF
191, Возможно подход американских психологов и пересмотр их позиций в отношении роли оптимизма и психического здоровья нации связан с широкой практикой психоанализа и психотерапии в США и необходимостью искать новые способы воздействия на пациентов,LF
192, К тому же события 11 сентября прошлого года существенно поколебали почву для безудержного оптимизма американцев и заставили многих усомниться в надежности и безопасности окружающего их мира,notLF
193, Для американских психологов появились новые задачи и новые возможности проверить свои выводы о роли оптимизма и пессимизма в сохранении психического и физического здоровья,notLF
194, Присуждение Нобелевской премии этого года в области физиологии и медицины прошло под знаком точных наук,LF
195, Лауреатами стали не врачи и даже не биологи,notLF
196, Химик Пол Лотербур США и физик Питер Мэнсфилд Великобритания сделали фундаментальные открытия которые привели к развитию магнитно резонансной томографии ставшей настоящим прорывом в медицине,LF
197, Метод МРТ основан на двух простых фактах на том что человеческое тело на две трети состоит из воды и на свойстве протонов входящих в состав молекулы воды изменять свое поведение в магнитном поле,LF
198, При воздействии радиочастотными импульсами на биологический объект помещенный в магнитное поле происходит поглощение их энергии протонами с последующим высвобождением в виде ответных сигналов эффект магнитного резонанса,notLF
199, Эти открытия были отмечены Нобелевской премией по физике в 1952 г.,notLF
200, В течение последующих десятилетий магнитный резонанс использовался главным образом в работах по изучению химической структуры различных веществ,notLF
201, В начале 70-х годов лауреаты Нобелевской премии этого года первыми провели исследования которые впоследствии сделали возможным применение магнитного резонанса в медицине,notLF
202, Дело в том что патологические процессы при многих заболеваниях являются результатом изменения содержания воды и это хорошо видно при МРТ,notLF
203, 74-летний Пол Лотербур Университет штата Иллинойс США открыл возможность получения двухмерного изображения благодаря созданию градиента в магнитном поле возрастание последнего в заданном направлении,notLF
204, Проанализировав характеристики излучаемых радиоволн он смог определить их происхождение,notLF
205, Это позволило создать двухмерную картинку которая не могла быть визуализирована другими методами,notLF
206, 70-летний Питер Мэнсфилд Ноттингемский университет Великобритания далее развил использование градиентов в магнитном поле,notLF
207, Он показал как сигналы могут быть проанализированы математически и это позволило развить технологию изображения,notLF
208, Мэнсфилд также показал как чрезвычайно быстро может быть получено изображение,notLF
209, Первые магнитно резонансные томографы появились в медицине в начале 80-х годов,LF
210, Сейчас магнитно резонансная томография обычный метод диагностики,notLF
211, В мире ежегодно проводится более 60 млн таких исследований и данный метод продолжает стремительно развиваться,LF
212, МРТ заменила сразу несколько инвазивных способов исследования и вследствие этого уменьшила риск и дискомфорт для многих больных,notLF
213, Человека помещают внутрь большого магнита где имеется довольно сильное постоянное магнитное поле ориентированное в большинстве аппаратов вдоль тела пациента,notLF
214, Под воздействием этого поля ядра атомов водорода в теле исследуемого которые представляют собой маленькие магнитики каждый None со своим слабым магнитным полем ориентируются определенным образом относительно сильного поля магнита,notLF
215, Добавляя слабое переменное магнитное поле к постоянному выбирают область изображение которой надо получить,notLF
216, Затем пациента облучают радиоволнами причем их частоту подстраивают таким образом чтобы протоны в его теле могли поглотить часть энергии радиоволн и изменить ориентацию своих магнитных полей относительно направления постоянного магнитного поля,notLF
217, Сразу же после прекращения облучения пациента радиоволнами протоны станут возвращаться в свое первоначальное состояние образуя резонансную волну и это будет вызывать появление электрического тока в приемных катушках томографа,notLF
218, Зарегистрированные токи являются МР сигналами они преобразуются компьютером и используются для построения изображения,notLF
219, Контрастность тканей отражает особенности внутренних ядерных структур вещества и она зависит от ряда таких факторов как строение вещества взаимодействие между молекулами молекулярное движение диффузия кровоток что не только позволяет дифференцировать на изображении патологические и здоровые ткани но и дает возможность наблюдать отражение функциональной деятельности отдельных структур,notLF
220, Выбирая форму облучающего радиоволнового сигнала или импульсной последовательности можно выделить влияние на тканевую контрастность одного какого-нибудь параметра и одна и та же ткань на одной томограмме может получиться светлой а на другой None None темной,notLF
221, На МРТ последнего поколения можно обнаружить минимальные изменения в колебаниях ядра,notLF
222, Благодаря компьютерной обработке стало возможным построить трехмерное изображение которое отражает химическую структуру ткани включая изменения в содержании воды и в движении ее молекул,notLF
223, В результате получается очень подробное изображение тканей и органов в исследуемой части тела,LF
224, Таким же способом могут быть обнаружены патологические изменения на самых ранних стадиях,LF
225, Большое преимущество МРТ состоит в том что она не причиняет пациенту вреда,LF
226, Этот метод не использует ионизирующее излучение в отличие от обычных рентгеновских излучений или компьютерной томографии пионеры ее применения в медицине были отмечены Нобелевской премией 1979 г.,notLF
227, Есть лишь две основные группы больных которым этот метод противопоказан,notLF
228, Это пациенты имеющие в теле металлические предметы например кардиостимуляторы а также страдающие клаустрофобией,LF
229, Сегодня МРТ используется для исследований почти всех органов,notLF
230, Данная технология особенно ценна для детального изображения головного и спинного мозга,notLF
231, Почти все заболевания мозга изменяют состав воды что хорошо видно при МРТ,notLF
232, Этот метод часто позволяет найти причину таких жалоб больных как головная боль головокружения снижение зрения глухота и т.д.,notLF
233, Для выявления патологического изменения достаточно различия в составе воды менее чем на 1 %,notLF
234, Другой пример длительная боль в спине ведущая к большим страданиям пациента и высоким затратам на лечение,notLF
235, Важно выявить разницу между мышечной болью и болью вызванной сдавлением нерва или вещества спинного мозга,notLF
236, С помощью МРТ можно увидеть произошло ли вызывающее боль смещение межпозвонкового диска и определить нужна ли операция,notLF
237, С тех пор как МРТ стала давать трехмерное изображение возможно точное определение очага локализации патологического процесса что очень значимо при планировании хирургических вмешательств,LF
238, МРТ исследования очень информативны в диагностике рака его лечении и последующей реабилитации больных,notLF
239, Изображения могут точно показать границы опухоли это способствует более щадящей хирургии и прицельной лучевой терапии,notLF
240, Перед хирургическим вмешательством особенно важно знать распространилась ли опухоль на окружающие ткани и здесь МРТ выявляя разницу между тканями дает более точную чем другие методы информацию,LF
241, МРТ также позволяет четко определить стадию опухоли что крайне важно для выбора методов лечения,notLF
242, МРТ может заменить использовавшиеся ранее инвазивные исследования и вследствие этого уменьшить страдания многих пациентов,notLF
243, Пример исследование органов желудочно-кишечного тракта с помощью эндоскопа в некоторых случаях вело к серьезным осложнениям,notLF
244, Сегодня соответствующая информация может быть получена с помощью МРТ,LF
245, Этот метод позволяет также заменить артроскопию,notLF
246, МРТ открыла новые возможности в оценке лечения эндокардитов пороков и опухолей сердца тромбозов и тромбоэмболий так прокомментировал МГ присуждение Нобелевской премии этого года генеральный директор Российского кардиологического научно производственного комплекса академик РАН и РАМН Евгений Чазов,LF
247, С ее помощью можно объективизировать результаты самых сложных методов лечения,notLF
